cod_localidad,id_provincia,id_departamento,categoría,provincia,localidad,nombre,domicilio,código postal,número de teléfono,mail,web
10049030,10,10049,Salas de cine,Catamarca,Catamarca,Cinemacenter,Intendente Mamerto Medina 220,4700,s/d,s/d,http://www.cinemacenter.com.ar/
10091150,10,10091,Salas de cine,Catamarca,Santa María,Centro Cultural San Agustín,San Martin 173,4139,421511,s/d,s/d
22140060,22,22140,Salas de cine,Chaco,Resistencia,Los Cines De La Costa,Av. Sarmiento 2600,3500,472200,administracion@loscinesdelacosta.com.ar,http://resistencia.loscinesdelacosta.com.ar/
26091020,26,26091,Salas de cine,Chubut,Sarmiento,Deborah Jones De Williams,Reg. Inf. Mec. 25 Esquina 20 De Junio,9020,4897169,culturasarmiento@hotmail.com,http://www.culturachubut.gob.ar/…/convo-evita-culturales.ht…
18007010,18,18007,Salas de cine,Corrientes,Bella Vista,Fantasio,Salta 1059,3432,s/d,nuevocineteatrorex@gmail.com,https://www.facebook.com/CineFantasioBellaVista/
30056070,30,30056,Salas de cine,Entre Ríos,Gualeguaychú,Cinema Gualeguaychú,25 De Mayo 1383,2820,4553653,cebriancine@gmail.com,http://cinemagualeguaychu.com
30084070,30,30084,Salas de cine,Entre Ríos,Crespo,Salón Teatro Municipal,25 De Mayo 943,3116,4951160,municres@gmail.com,http://www.crespo.gov.ar
30028010,30,30028,Salas de cine,Entre Ríos,Chajarí,Cine Gran Libertad,3 De Febrero 3060,3228,49899707,gerenciagranlibertad@gmail.com,http://cinegranlibertad.com/sala/gran-libertad/alias/chaj
30084160,30,30084,Salas de cine,Entre Ríos,Paraná,Cine Complejo Círculo,Andres Pazos 339,3100,4233222,v-vieiro@hotmail.com,https://www.cinecirculo.com.ar/
30008020,30,30008,Salas de cine,Entre Ríos,Colón,Starlight,Calle 12 De Abril 287,3280,424481,samanthaeventos@hotmail.com,https://www.facebook.com/pg/StarlightCineColon/about/?ref=page_internal
30049040,30,30049,Salas de cine,Entre Ríos,Gualeguay,Altos Del Gualeguay,Rocamora 33,2840,453306,legales@nefroargentina.com.ar,https://www.facebook.com/pg/CineAltosDeGualeguay/about/?ref=page_internal
38094050,38,38094,Salas de cine,Jujuy,Tilcara,Barbarita Cruz,Belgrano 547,4624,4955462,musica@imagine.com.ar,https://capectilcara.com/
38021060,38,38021,Salas de cine,Jujuy,San Salvador de Jujuy,Cine Auditorium,Independencia Esq. Italia S/N,4600,4632908,cineauditoriumjujuy@gmail.com,https://www.facebook.com/CineAuditoriumJujuyINCAAMercosur/
42007010,42,42007,Salas de cine,La Pampa,Doblas,Centro Cultural Doblas,Cordoba 670,6305,492102,culturaydeportedoblas@cosedo.com.ar,s/d
42021020,42,42021,Salas de cine,La Pampa,Santa Rosa,Milenium,Escalante 270,6300,4773833,cineamadeus@yahoo.com.ar,https://www.facebook.com/pages/Cine-Milenium/321221581543378
