Provincia,Pantallas,Butacas,espacio_INCAA,date_time
Catamarca,5,743,,26-06-2022
Catamarca,1,440,0,26-06-2022
Chaco,5,820,,26-06-2022
Chubut,1,80,,26-06-2022
Corrientes,1,240,,26-06-2022
Entre Ríos,1,330,,26-06-2022
Entre Ríos,1,180,,26-06-2022
Entre Ríos,1,400,,26-06-2022
Entre Ríos,2,300,,26-06-2022
Entre Ríos,2,154,,26-06-2022
Entre Ríos,1,198,,26-06-2022
Jujuy,1,120,si,26-06-2022
Jujuy,1,201,,26-06-2022
La Pampa,1,114,,26-06-2022
La Pampa,1,352,,26-06-2022
La Rioja,2,216,,26-06-2022
Misiones,1,520,,26-06-2022
Misiones,1,40,,26-06-2022
Misiones,1,546,si,26-06-2022
Salta,1,252,,26-06-2022
Salta,1,120,,26-06-2022
Salta,5,897,,26-06-2022
Salta,1,145,,26-06-2022
San Juan,5,849,,26-06-2022
San Luis,1,100,,26-06-2022
San Luis,1,75,,26-06-2022
Santa Cruz,3,290,,26-06-2022
Santa Cruz,1,80,,26-06-2022
Santiago del Estero,1,233,,26-06-2022
Santiago del Estero,1,136,,26-06-2022
Tucumán,2,219,,26-06-2022
Santa Fe,1,299,,26-06-2022
Santa Fe,3,584,,26-06-2022
Santa Fe,4,920,,26-06-2022
Santa Fe,1,800,,26-06-2022
Santa Fe,1,305,,26-06-2022
Mendoza,2,284,,26-06-2022
Mendoza,2,302,,26-06-2022
Córdoba,2,324,,26-06-2022
Córdoba,2,307,,26-06-2022
Córdoba,1,279,,26-06-2022
Córdoba,1,200,,26-06-2022
Córdoba,4,955,,26-06-2022
Córdoba,1,219,,26-06-2022
Córdoba,2,322,,26-06-2022
Córdoba,6,1398,,26-06-2022
Ciudad Autónoma de Buenos Aires,2,250,,26-06-2022
Ciudad Autónoma de Buenos Aires,3,585,,26-06-2022
Ciudad Autónoma de Buenos Aires,1,235,,26-06-2022
Ciudad Autónoma de Buenos Aires,1,1494,si,26-06-2022
Ciudad Autónoma de Buenos Aires,3,432,,26-06-2022
Ciudad Autónoma de Buenos Aires,10,1918,,26-06-2022
Ciudad Autónoma de Buenos Aires,2,212,,26-06-2022
Ciudad Autónoma de Buenos Aires,8,1908,,26-06-2022
Ciudad Autónoma de Buenos Aires,1,160,,26-06-2022
Buenos Aires,1,300,,26-06-2022
Buenos Aires,1,60,SI,26-06-2022
Buenos Aires,6,1121,,26-06-2022
Buenos Aires,1,220,,26-06-2022
Buenos Aires,16,3485,,26-06-2022
Buenos Aires,1,45,,26-06-2022
Buenos Aires,1,522,SI,26-06-2022
Buenos Aires,6,1315,,26-06-2022
Buenos Aires,1,271,,26-06-2022
Buenos Aires,1,250,SI,26-06-2022
Buenos Aires,1,256,SI,26-06-2022
Buenos Aires,1,540,,26-06-2022
Buenos Aires,1,600,,26-06-2022
Buenos Aires,1,350,,26-06-2022
Buenos Aires,1,660,,26-06-2022
Buenos Aires,1,349,SI,26-06-2022
Buenos Aires,1,100,,26-06-2022
Buenos Aires,1,272,,26-06-2022
Buenos Aires,1,208,,26-06-2022
Buenos Aires,3,1358,,26-06-2022
Buenos Aires,2,383,,26-06-2022
Buenos Aires,1,385,,26-06-2022
Buenos Aires,3,453,,26-06-2022
Buenos Aires,1,280,,26-06-2022
Buenos Aires,8,1865,,26-06-2022
Buenos Aires,9,1407,,26-06-2022
Buenos Aires,2,197,,26-06-2022
Buenos Aires,1,90,,26-06-2022
Buenos Aires,1,415,si,26-06-2022
Buenos Aires,1,390,,26-06-2022
Buenos Aires,2,660,,26-06-2022
Buenos Aires,1,310,,26-06-2022
Buenos Aires,1,410,,26-06-2022
Buenos Aires,1,30,,26-06-2022
Buenos Aires,4,710,,26-06-2022
Buenos Aires,2,645,SI,26-06-2022
Catamarca,5,914,,26-06-2022
Chaco,1,167,si,26-06-2022
Chaco,5,792,,26-06-2022
Chaco,3,690,,26-06-2022
Chubut,2,486,,26-06-2022
Chubut,1,150,si,26-06-2022
Chubut,1,100,si,26-06-2022
Chubut,1,243,,26-06-2022
Chubut,1,380,,26-06-2022
Chubut,1,400,si,26-06-2022
Chubut,1,380,,26-06-2022
Chubut,1,463,si,26-06-2022
Corrientes,4,562,,26-06-2022
Corrientes,5,1140,,26-06-2022
Corrientes,1,300,,26-06-2022
Corrientes,2,358,,26-06-2022
Corrientes,1,200,si,26-06-2022
Corrientes,2,370,,26-06-2022
Corrientes,1,200,,26-06-2022
Entre Ríos,1,250,,26-06-2022
Entre Ríos,1,299,si,26-06-2022
Entre Ríos,1,664,,26-06-2022
Entre Ríos,1,457,,26-06-2022
Entre Ríos,1,70,si,26-06-2022
Entre Ríos,3,434,,26-06-2022
