datos conjuntos,categoria,provincia,fuente,cantidad de registros,date_time
Cantidad de registros totales por categoría,Salas de cine,,,329,26-06-2022
Cantidad de registros totales por categoría,Espacios de Exhibición Patrimonial,,,1182,26-06-2022
Cantidad de registros totales por categoría,Bibliotecas Populares,,,2017,26-06-2022
Cantidad de registros totales por fuente,,,INCAA / SInCA,329,26-06-2022
Cantidad de registros totales por fuente,,,DNPyM,1048,26-06-2022
Cantidad de registros totales por fuente,,,Secretaria de Cultura del Municipio de Esteban Echeverría,1,26-06-2022
Cantidad de registros totales por fuente,,,UNLA,1,26-06-2022
Cantidad de registros totales por fuente,,,Red de Espacios Culturales Vicente López,4,26-06-2022
Cantidad de registros totales por fuente,,,CNMLH - Enlace SInCA,1,26-06-2022
Cantidad de registros totales por fuente,,,Dirección Provincial de Patrimonio Cultural - Enlace SInCA,1,26-06-2022
Cantidad de registros totales por fuente,,,RCC,41,26-06-2022
Cantidad de registros totales por fuente,,,Gobierno de la Provincia de Chubut / SInCA 2013,3,26-06-2022
Cantidad de registros totales por fuente,,,Municipalidad de Puerto Madryn,2,26-06-2022
Cantidad de registros totales por fuente,,,Área Gestión Cultural de la Municipalidad de Colonia Caroya,4,26-06-2022
Cantidad de registros totales por fuente,,,Dirección de Cultura y de Educación de la Municipalidad de Unquillo,1,26-06-2022
Cantidad de registros totales por fuente,,,Dirección de Cultura de Villa Allende,2,26-06-2022
Cantidad de registros totales por fuente,,,RCC- Córdoba,31,26-06-2022
Cantidad de registros totales por fuente,,,Gobierno de la Provincia,32,26-06-2022
Cantidad de registros totales por fuente,,,Gobierno de la Provincia de Jujuy,4,26-06-2022
Cantidad de registros totales por fuente,,,Gobierno de la Provincia de La Pampa,1,26-06-2022
Cantidad de registros totales por fuente,,,Gobierno de la Provincia de La Rioja,1,26-06-2022
Cantidad de registros totales por fuente,,,Gobierno de la Provincia de Mendoza,4,26-06-2022
Cantidad de registros totales por fuente,,,Gobierno de la provincia,1,26-06-2022
